endpoint,is_active,name,position,years_active
/players/A/AgajBe20.htm,False,Ben Agajanian,K,1945-1964
/players/A/AgasAl20.htm,False,Alex Agase,LB-G,1947-1953
/players/A/AgexLo20.htm,False,Louis Age,T,1992-1992
/players/A/AgeeMe20.htm,False,Mel Agee,DE-DT,1991-1995
/players/A/AgeeSa20.htm,False,Sam Agee,FB,1938-1939
/players/A/AgeeTo00.htm,False,Tommie Agee,RB,1988-1994
/players/A/AghoNe00.htm,True,Nelson Agholor,WR,2015-2016
/players/A/AgleBo20.htm,False,Bob Agler,HB-DB-FB-LB,1948-1949
/players/A/AgneRa20.htm,False,Ray Agnew,DT-DE,1990-2000
/players/A/AgneRa00.htm,True,Ray Agnew,FB,2014-2014
/players/A/AgneVi00.htm,False,Vince Agnew,CB,2012-2012
/players/A/AguaRo00.htm,True,Roberto Aguayo,K,2016-2016
/players/A/aguialou01.htm,False,Louie Aguiar,P,1991-2000
/players/A/AguiJo20.htm,False,Joe Aguirre,E,1941-1949
/players/A/AhYoC.00.htm,False,C.J. Ah You,DE,2009-2011
/players/A/AhanCh20.htm,False,Chidi Ahanotu,DE-DT,1993-2004
/players/A/AherDa20.htm,False,Dan Ahern,T,1921-1921
/players/A/AhreDa20.htm,False,Dave Ahrens,LB,1981-1990
/players/A/AielTo20.htm,False,Tony Aiello,WB-BB,1944-1944
/players/A/AikeDa00.htm,True,Danny Aiken,LS,2011-2015
/players/A/AikeKa00.htm,True,Kamar Aiken,WR,2011-2016
/players/A/AikeSa00.htm,False,Sam Aiken,WR,2003-2010
/players/A/AikeCa20.htm,False,Carl Aikens,WR,1987-1987
/players/A/AikeWa00.htm,True,Walt Aikens,CB,2014-2016
/players/A/AikmTr00.htm,False,Troy Aikman,QB,1989-2000
/players/A/AiliJi20.htm,False,Jim Ailinger,G,1924-1924
/players/A/AiuxCh20.htm,False,Charles Aiu,G,1976-1978
/players/A/AiyeVi00.htm,False,Victor Aiyewa,LB,2013-2013
/players/A/AjayJa00.htm,True,Jay Ajayi,RB,2015-2016
/players/A/AjirSe00.htm,True,Seyi Ajirotutu,WR,2010-2015
/players/A/AkbaHa20.htm,False,Hakim Akbar,LB,2001-2002
/players/A/akersdav01.htm,False,David Akers,K,1998-2013
/players/A/AkinHa20.htm,False,Harold Akin,T,1967-1968
/players/A/AkinLe20.htm,False,Len Akin,G-LB,1942-1942
/players/A/AkinAl20.htm,False,Al Akins,HB-DB,1946-1948
/players/A/AkinCh20.htm,False,Chris Akins,DB,1999-2003
/players/A/AkinFr00.htm,False,Frank Akins,FB,1943-1946
/players/A/AkiuMi20.htm,False,Mike Akiu,WR,1985-1986
/players/A/AlabAn20.htm,False,Anthony Alabi,T,2006-2007
/players/A/AlamIk99.htm,False,Ikaika Alama-Francis,DE,2007-2011
/players/A/AlbaDi00.htm,False,Dick Alban,DB,1952-1959
/players/A/AlbaDo20.htm,False,Dom Albanese,BB-E-FB,1925-1925
/players/A/AlbaVa20.htm,False,Vannie Albanese,FB-DB-BB-LB,1937-1938
/players/A/AlbeTo20.htm,False,Tom Alberghini,G,1945-1945
/players/A/AlbeBr20.htm,True,Branden Albert,G,2008-2016
/players/A/AlbeFr00.htm,False,Frankie Albert,QB-DB,1946-1952
/players/A/AlbeSe20.htm,False,Sergio Albert,K,1974-1974
/players/A/AlbeTr20.htm,False,Trev Alberts,LB,1994-1996
/players/A/AlbrAr20.htm,False,Art Albrecht,T-C-LB,1942-1944
/players/A/AlbrTe20.htm,False,Ted Albrecht,T-G,1977-1981
/players/A/AlbrAl00.htm,False,Alex Albright,LB,2011-2012
/players/A/AlbrBi20.htm,False,Bill Albright,G-T-DT,1951-1954
/players/A/AlbrEt20.htm,False,Ethan Albright,G-C-T,1995-2010
/players/A/AlbrIr20.htm,False,Ira Albright,NT-RB,1987-1987
/players/A/AlbrVi20.htm,False,Vince Albritton,DB,1984-1991
/players/A/AlcoZa20.htm,False,Zac Alcorn,TE,2006-2006
/players/A/AldeGr00.htm,False,Grady Alderman,T-G,1960-1974
/players/A/AldeJo20.htm,False,John Alderton,DE,1953-1953
/players/A/AldrKi20.htm,False,Ki Aldrich,C-LB-G,1939-1947
/players/A/AldrAl20.htm,False,Allen Aldridge,DE,1971-1974
/players/A/AldrAl21.htm,False,Allen Aldridge,LB,1994-2001
/players/A/AldrBe00.htm,False,Bennie Aldridge,DB-HB,1950-1953
/players/A/AldrJe20.htm,False,Jerry Aldridge,RB,1980-1980
/players/A/AldrKe20.htm,False,Kevin Aldridge,DE,2002-2002
/players/A/AldrLi20.htm,False,Lionel Aldridge,DE,1963-1973
/players/A/AldrMe20.htm,False,Melvin Aldridge,DB,1993-1995
/players/A/AlexAr20.htm,False,Arnold Ale,LB,1994-1996
/players/A/AleaIn20.htm,False,Ink Aleaga,LB,1997-1999
/players/A/AlecCh00.htm,True,Chas Alecxih,DT,2012-2012
/players/A/AlexKe20.htm,False,Keith Alex,G,1993-1993
/players/A/AlexSt20.htm,False,Steve Alexakos,G,1970-1971
/players/A/AlexAl00.htm,False,Alvester Alexander,RB,2012-2012
/players/A/AlexBr20.htm,False,Brent Alexander,DB,1994-2005
/players/A/AlexBr21.htm,False,Bruce Alexander,DB,1989-1993
/players/A/AlexCh00.htm,False,Charles Alexander,RB,1979-1985
/players/A/AlexD.00.htm,True,D.J. Alexander,OLB,2015-2016
/players/A/AlexDa20.htm,False,Dan Alexander,G-T,1977-1989
/players/A/AlexDa21.htm,False,Dan Alexander,RB,2001-2003
/players/A/AlexDa00.htm,False,Danario Alexander,WR,2010-2012
/players/A/AlexDa22.htm,False,David Alexander,C-G-T,1987-1996
/players/A/AlexDe00.htm,False,Derrick Alexander,WR,1994-2002
/players/A/AlexDe20.htm,False,Derrick Alexander,DE,1995-1999
/players/A/AlexDo20.htm,False,Doc Alexander,C-G-T-E,1921-1927
/players/A/AlexDo01.htm,True,Dominique Alexander,LB,2016-2016
/players/A/AlexEl20.htm,False,Elijah Alexander,LB,1992-2001
/players/A/AlexEr20.htm,False,Eric Alexander,LB,2004-2010
/players/A/AlexFr00.htm,True,Frank Alexander,DE,2012-2014
/players/A/AlexGe99.htm,False,Gerald Alexander,DB,2007-2011
/players/A/AlexGl00.htm,False,Glenn Alexander,WR,1970-1970
/players/A/AlexHa20.htm,False,Harold Alexander,P,1993-1994
/players/A/AlexJe00.htm,False,Jeff Alexander,RB,1989-1992
/players/A/AlexJo20.htm,False,John Alexander,T,1922-1926
/players/A/AlexJo21.htm,False,John Alexander,DE,1977-1978
/players/A/AlexKe01.htm,False,Kermit Alexander,DB,1963-1973
/players/A/AlexKe00.htm,False,Kevin Alexander,WR,1996-1997
/players/A/AlexKe02.htm,False,Kevin Alexander,LB-DE,2010-2010
/players/A/AlexKw00.htm,True,Kwon Alexander,OLB,2015-2016
/players/A/AlexLo99.htm,True,Lorenzo Alexander,DT,2007-2016
/players/A/AlexMa01.htm,True,Mackensie Alexander,CB,2016-2016
/players/A/AlexMa00.htm,True,Maurice Alexander,SS,2014-2016
/players/A/AlexMi00.htm,False,Mike Alexander,WR,1989-1991
/players/A/AlexMi01.htm,True,Mister Alexander,LB,2011-2012
/players/A/AlexP.20.htm,False,P.J. Alexander,G,2004-2007
/players/A/AlexPa20.htm,False,Patrise Alexander,LB,1996-1998
/players/A/AlexRa00.htm,False,Ray Alexander,WR,1984-1989
/players/A/AlexRo20.htm,False,Robert Alexander,RB,1982-1983
/players/A/AlexRo21.htm,False,Roc Alexander,DB,2004-2006
/players/A/AlexRo22.htm,False,Rogers Alexander,LB,1986-1987
/players/A/AlexRu20.htm,False,Rufus Alexander,LB,2008-2008
